image_name,action_high_model_uncertainty,action_high_data_uncertainty,model_uncertainty,data_uncertainty,missed_reasons,excessive_reasons
01c9256f-b4754064,"[1, 3]","[0, 2]","[0.06930791586637497, 1.0, 0.17533954977989197, 1.0]","[0.9323276281356812, 0.2655767500400543, 0.8232495784759521, 0.2655767500400543]",[],[]
0218c5b0-145d6bbf,"[0, 2, 3]",[1],"[1.0, 0.14614959061145782, 1.0, 1.0]","[0.4740540087223053, 0.8870874643325806, 0.4740540087223053, 0.4740540087223053]",[],[]
029407d6-ca53347d,"[0, 3]",[1],"[1.0, 0.17350225150585175, 0.5258415937423706, 1.0]","[0.47987672686576843, 0.9730633497238159, 0.7153929471969604, 0.47987672686576843]",[3],[2]
02d338b7-431f2064,"[0, 2, 3]",[1],"[1.0, 0.3287789523601532, 1.0, 1.0]","[0.6473536491394043, 0.9999658465385437, 0.6473536491394043, 0.6473536491394043]","[0, 2]",[1]
02f1accd-9a9ee2ba,"[1, 2, 3]",[0],"[0.3434942066669464, 1.0, 0.8190039396286011, 1.0]","[0.9981589317321777, 0.6416088938713074, 0.7201453447341919, 0.6416088938713074]",[],[2]
030c8a82-4c8d6fb5,"[1, 2]",[3],"[0.7185130715370178, 1.0, 1.0, 0.13851188123226166]","[0.560604989528656, 0.450461745262146, 0.450461745262146, 0.9039841890335083]",[2],[]
03164aef-9a01fe07,"[0, 1, 3]",[2],"[0.8993608951568604, 1.0, 0.35499298572540283, 1.0]","[0.696297824382782, 0.6546453237533569, 0.9982141256332397, 0.6546453237533569]",[3],[]
031675b4-8c9d08cb,"[0, 2, 3]",[1],"[1.0, 0.1681220531463623, 1.0, 1.0]","[0.5051902532577515, 0.9202184677124023, 0.5051902532577515, 0.5051902532577515]",[],[]
0320e1b6-1f0880ad,"[0, 3]",[1],"[1.0, 0.11204537749290466, 0.4420672357082367, 1.0]","[0.38731974363327026, 0.9078309535980225, 0.6612141728401184, 0.38731974363327026]",[],[2]
03b135f4-fbcf4d8a,"[0, 2, 3]",[1],"[1.0, 0.39708220958709717, 1.0, 0.8830075860023499]","[0.6733904480934143, 0.9914634227752686, 0.6733904480934143, 0.7227486371994019]",[2],[3]
04e0fe42-8926ea48,"[0, 2, 3]",[1],"[1.0, 0.1805657148361206, 1.0, 1.0]","[0.5210294127464294, 0.9352805614471436, 0.5210294127464294, 0.5210294127464294]",[],[]
054a8fc0-6f54c1d9,"[1, 3]","[0, 2]","[0.4153083860874176, 1.0, 0.23157042264938354, 1.0]","[0.8498507738113403, 0.513629674911499, 0.9999241232872009, 0.513629674911499]",[1],"[0, 2]"
057f2887-a81b8339,"[0, 1, 3]",[2],"[1.0, 1.0, 0.158441424369812, 1.0]","[0.49200597405433655, 0.49200597405433655, 0.9067395925521851, 0.49200597405433655]",[1],[2]
0594b1a4-c9f9459a,"[0, 2, 3]",[1],"[1.0, 0.2186533510684967, 1.0, 1.0]","[0.563007116317749, 0.968636155128479, 0.563007116317749, 0.563007116317749]",[],[]
05be3c16-e85868fd,"[1, 3]","[0, 2]","[0.2533486783504486, 1.0, 0.11368999630212784, 1.0]","[0.838187575340271, 0.35776880383491516, 0.9728975296020508, 0.35776880383491516]",[],[2]
05fd5ca5-d5aa90ab,"[0, 3]","[1, 2]","[1.0, 0.14060384035110474, 0.2291707694530487, 1.0]","[0.38143232464790344, 0.9977726936340332, 0.9084750413894653, 0.38143232464790344]",[],[2]
06939285-f98cafe6,"[0, 2]",[1],"[1.0, 0.11050073057413101, 1.0, 0.715234637260437]","[0.40335890650749207, 0.8457226753234863, 0.40335890650749207, 0.5068742036819458]",[],[3]
06b4defc-e86850c5,"[1, 2, 3]",[0],"[0.12553870677947998, 1.0, 0.8180378675460815, 1.0]","[0.8661542534828186, 0.4343990087509155, 0.4976864457130432, 0.4343990087509155]",[1],"[0, 2]"
07184fbb-7b3e0527,"[1, 2, 3]",[0],"[0.24654100835323334, 1.0, 1.0, 1.0]","[0.9837791919708252, 0.588728129863739, 0.588728129863739, 0.588728129863739]",[],[]
0725b3e1-e2d1e6af,"[0, 2, 3]",[],"[1.0, 0.10111480206251144, 1.0, 1.0]","[0.39359796047210693, 0.7827625274658203, 0.39359796047210693, 0.39359796047210693]",[],[]
076399f2-d397b12e,"[1, 3]","[0, 2]","[0.06295087933540344, 1.0, 0.07103215157985687, 1.0]","[0.9999737739562988, 0.200798898935318, 0.989741325378418, 0.200798898935318]",[],[]
078540a3-fc47465e,"[2, 3]",[1],"[0.7563307881355286, 0.4221988320350647, 1.0, 1.0]","[0.7820650935173035, 0.9796478152275085, 0.6706339716911316, 0.6706339716911316]",[],[0]
0798a3a8-04635a44,"[0, 1, 3]",[2],"[1.0, 1.0, 0.2664300203323364, 1.0]","[0.6050021648406982, 0.6050021648406982, 0.9910054206848145, 0.6050021648406982]",[0],[]
079ae0da-1adc1f6f,"[1, 2]","[0, 3]","[0.2383906990289688, 1.0, 1.0, 0.32682284712791443]","[0.9936894178390503, 0.49402081966400146, 0.49402081966400146, 0.9155608415603638]",[2],[]
07afa351-d3181637,"[1, 3]","[0, 2]","[0.24387356638908386, 1.0, 0.2570967972278595, 1.0]","[0.9767392873764038, 0.46931058168411255, 0.9643757343292236, 0.46931058168411255]",[1],[0]
07c4f10b-f7d92a3b,[0],[1],"[1.0, 0.279774010181427, 0.7225890159606934, 0.6380347609519958]","[0.5652863383293152, 0.9981898069381714, 0.6885251402854919, 0.7381548285484314]",[0],"[1, 2, 3]"
07e29820-efa9e7da,"[0, 3]","[1, 2]","[1.0, 0.43365779519081116, 0.410022109746933, 1.0]","[0.6054714918136597, 0.926611065864563, 0.9439975023269653, 0.6054714918136597]",[0],[1]
083174cc-0249b0b9,"[0, 2, 3]",[],"[1.0, 0.059265684336423874, 1.0, 1.0]","[0.28775089979171753, 0.6122307777404785, 0.28775089979171753, 0.28775089979171753]",[3],[]
086f115c-4bf4a6d1,[0],[1],"[1.0, 0.10336241126060486, 0.42055782675743103, 0.7598685026168823]","[0.36441662907600403, 0.9114915728569031, 0.6472749710083008, 0.44175615906715393]",[],"[2, 3]"
08b5c3d0-b5d559fe,"[1, 2, 3]",[0],"[0.16179300844669342, 1.0, 1.0, 1.0]","[0.9115933775901794, 0.4966610372066498, 0.4966610372066498, 0.4966610372066498]",[],[]
08c272df-0638c5ca,"[0, 2]",[],"[1.0, 0.07511088252067566, 1.0, 0.533013641834259]","[0.3201538324356079, 0.7700663805007935, 0.3201538324356079, 0.4973222017288208]","[0, 2]",[1]
08c88de6-6cd7fb48,"[0, 1, 3]",[2],"[1.0, 1.0, 0.24147605895996094, 1.0]","[0.5843240022659302, 0.5843240022659302, 0.9814993143081665, 0.5843240022659302]",[0],[2]
090ebc7d-4412ca52,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]","[0, 3]",[]
09285422-84f1b374,"[1, 2, 3]",[0],"[0.7004810571670532, 1.0, 1.0, 1.0]","[0.9070049524307251, 0.770717978477478, 0.770717978477478, 0.770717978477478]",[1],[0]
0928ee80-58cbc552,"[0, 2, 3]",[1],"[1.0, 0.22060218453407288, 1.0, 1.0]","[0.5649278163909912, 0.9699147939682007, 0.5649278163909912, 0.5649278163909912]","[0, 2]",[1]
09a1bb0d-980924e2,"[0, 2, 3]",[1],"[1.0, 0.12035875022411346, 1.0, 1.0]","[0.43120452761650085, 0.8346205949783325, 0.43120452761650085, 0.43120452761650085]","[0, 2, 3]",[1]
09a3ff75-72315256,"[0, 2, 3]",[1],"[1.0, 0.3158631920814514, 1.0, 1.0]","[0.6395031809806824, 0.9994776248931885, 0.6395031809806824, 0.6395031809806824]",[],[]
09c287b9-7c1b1570,"[0, 2]","[1, 3]","[1.0, 0.22481562197208405, 1.0, 0.326418936252594]","[0.48506298661231995, 0.996977686882019, 0.48506298661231995, 0.9066336154937744]",[],[3]
0a006b7b-8b98f153,"[0, 2]",[1],"[1.0, 0.15416888892650604, 1.0, 0.589383065700531]","[0.4632703363895416, 0.9451636075973511, 0.4632703363895416, 0.6499104499816895]",[],[]
0a172b0e-2af0d158,"[0, 2, 3]",[1],"[1.0, 0.7067439556121826, 0.9323896169662476, 1.0]","[0.7653259038925171, 0.8992084264755249, 0.7933777570724487, 0.7653259038925171]","[0, 3]","[1, 2]"
0a49dd06-9c0fffaf,"[0, 2, 3]",[1],"[1.0, 0.13209393620491028, 1.0, 1.0]","[0.45165371894836426, 0.860593318939209, 0.45165371894836426, 0.45165371894836426]",[],[]
0a800f65-5ee96eb0,"[0, 2, 3]",[1],"[1.0, 0.3260178864002228, 1.0, 1.0]","[0.6457110643386841, 0.9999112486839294, 0.6457110643386841, 0.6457110643386841]",[],[]
0a8aa157-3127bc5f,"[1, 3]","[0, 2]","[0.16401557624340057, 1.0, 0.11799834668636322, 1.0]","[0.9490582942962646, 0.32880863547325134, 0.9996252059936523, 0.32880863547325134]",[1],[0]
0ac0714b-95c0e9b6,"[0, 1, 2]",[3],"[1.0, 1.0, 1.0, 0.19743631780147552]","[0.5407328009605408, 0.5407328009605408, 0.5407328009605408, 0.9521812200546265]",[2],[3]
0acec6f7-40ab585c,"[0, 2]",[],"[1.0, 0.08658062666654587, 1.0, 0.7393053770065308]","[0.35501694679260254, 0.7691386342048645, 0.35501694679260254, 0.4390161633491516]",[0],[3]
0b191664-0d462482,"[0, 2, 3]",[1],"[1.0, 0.15402552485466003, 1.0, 1.0]","[0.48571985960006714, 0.9000244140625, 0.48571985960006714, 0.48571985960006714]",[],[]
0b487c00-b2febf6c,"[1, 2, 3]",[0],"[0.21787595748901367, 1.0, 1.0, 1.0]","[0.9681158065795898, 0.5622352957725525, 0.5622352957725525, 0.5622352957725525]",[],[]
0b4b4275-b37219ab,"[0, 2, 3]",[1],"[1.0, 0.1988944262266159, 1.0, 1.0]","[0.542348325252533, 0.9534720182418823, 0.542348325252533, 0.542348325252533]",[0],[1]
0b607c1a-e6aaa838,"[0, 2]","[1, 3]","[1.0, 0.11786193400621414, 1.0, 0.1624210774898529]","[0.32780730724334717, 0.9997203350067139, 0.32780730724334717, 0.9506509304046631]",[],[3]
0b9770dc-744899a4,"[1, 3]","[0, 2]","[0.4098546802997589, 1.0, 0.4258776903152466, 1.0]","[0.9422194957733154, 0.603090763092041, 0.930370569229126, 0.603090763092041]",[1],"[0, 2]"
0ba01bd3-afb758f2,"[0, 2]","[1, 3]","[1.0, 0.1038348600268364, 1.0, 0.13861998915672302]","[0.2992788553237915, 0.9996472597122192, 0.2992788553237915, 0.9600042700767517]",[],[]
0bb001f6-80239764,"[0, 2, 3]",[1],"[1.0, 0.1475483626127243, 1.0, 1.0]","[0.4761699438095093, 0.8894788026809692, 0.4761699438095093, 0.4761699438095093]",[],[]
0bd143f9-c7d0cfdd,"[0, 2, 3]",[1],"[1.0, 0.40287160873413086, 1.0, 1.0]","[0.6853191256523132, 0.9935547113418579, 0.6853191256523132, 0.6853191256523132]",[3],[1]
0bdce5bc-48014892,"[1, 2, 3]",[0],"[0.6102500557899475, 1.0, 1.0, 1.0]","[0.9369486570358276, 0.7520121932029724, 0.7520121932029724, 0.7520121932029724]",[1],[0]
0bf28365-f426185c,"[0, 3]","[1, 2]","[1.0, 0.13593214750289917, 0.3105684220790863, 1.0]","[0.40046197175979614, 0.9790769815444946, 0.8206887245178223, 0.40046197175979614]",[],[2]
0c0aa9f5-fd45f7c3,"[0, 2, 3]",[],"[1.0, 0.05335504189133644, 1.0, 1.0]","[0.26912587881088257, 0.5789226293563843, 0.26912587881088257, 0.26912587881088257]",[],[]
0c8a2c79-0194bc27,"[0, 2]","[1, 3]","[1.0, 0.11572416871786118, 1.0, 0.1575482189655304]","[0.3229162096977234, 0.9997839331626892, 0.3229162096977234, 0.9534120559692383]",[0],"[1, 3]"
0ce5101a-08b03d25,"[0, 2, 3]",[1],"[1.0, 0.11065205186605453, 1.0, 1.0]","[0.4129220247268677, 0.8100467324256897, 0.4129220247268677, 0.4129220247268677]",[],[]
0d32f867-4b7443ad,"[0, 2, 3]",[1],"[1.0, 0.2883564531803131, 1.0, 1.0]","[0.621255099773407, 0.9962211847305298, 0.621255099773407, 0.621255099773407]","[0, 2]",[1]
0dcd165f-81255c47,"[0, 2, 3]",[1],"[1.0, 0.10874633491039276, 1.0, 1.0]","[0.4091735780239105, 0.8048572540283203, 0.4091735780239105, 0.4091735780239105]",[],[]
0df8a79c-90ecb4c3,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]",[1],[]
0e6538be-925b18a8,"[0, 2, 3]",[1],"[1.0, 0.1296127736568451, 1.0, 1.0]","[0.44747060537338257, 0.8554149866104126, 0.44747060537338257, 0.44747060537338257]",[],[]
0e861c60-b4f0b6ad,"[0, 2, 3]",[1],"[1.0, 0.2235783487558365, 1.0, 1.0]","[0.5678231716156006, 0.9717988967895508, 0.5678231716156006, 0.5678231716156006]",[],[]
0e8ca76d-0262dfef,"[0, 3]","[1, 2]","[1.0, 0.10371249169111252, 0.24143266677856445, 1.0]","[0.3406229615211487, 0.9642325639724731, 0.8303676843643188, 0.3406229615211487]",[],[2]
0ed84a06-57e9d7d9,[1],"[0, 2]","[0.1280825287103653, 1.0, 0.11759521067142487, 0.3791945278644562]","[0.9656865000724792, 0.28694626688957214, 0.9842648506164551, 0.5634399652481079]",[1],[0]
0ef40952-9eb26d4c,"[0, 2, 3]",[1],"[1.0, 0.3294573426246643, 1.0, 1.0]","[0.6477543115615845, 0.9999753832817078, 0.6477543115615845, 0.6477543115615845]",[3],[]
0f026efa-37f39d4a,"[0, 2, 3]",[1],"[1.0, 0.6809998750686646, 1.0, 1.0]","[0.7670319080352783, 0.9135134220123291, 0.7670319080352783, 0.7670319080352783]",[],[]
0f1de9c3-e103c6b4,"[0, 2, 3]",[1],"[1.0, 0.36785078048706055, 1.0, 1.0]","[0.6687276363372803, 0.99825119972229, 0.6687276363372803, 0.6687276363372803]","[2, 3]",[]
0f4d169f-a4910593,"[0, 2, 3]",[],"[1.0, 0.1001766175031662, 1.0, 1.0]","[0.3916179835796356, 0.7798937559127808, 0.3916179835796356, 0.3916179835796356]",[],[]
0f6ccc0d-943bb2d8,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]",[1],[]
0f6ea00d-ef00cdae,"[0, 2, 3]",[1],"[1.0, 0.33132150769233704, 0.9028958082199097, 1.0]","[0.6420162916183472, 0.9998465776443481, 0.6818273663520813, 0.6420162916183472]","[0, 3]",[1]
0f837def-10049e8d,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]","[0, 2]",[]
0fe16023-e23e01d0,"[1, 3]","[0, 2]","[0.09213517606258392, 1.0, 0.23845303058624268, 1.0]","[0.9454077482223511, 0.3221035599708557, 0.8048819303512573, 0.3221035599708557]",[1],[0]
0fe7b9f6-03351c21,"[0, 2]",[1],"[1.0, 0.07622241973876953, 1.0, 0.3911016285419464]","[0.313686728477478, 0.823400616645813, 0.313686728477478, 0.5962871313095093]",[],[3]
10039792-4af9f5c5,"[1, 2]","[0, 3]","[0.20651040971279144, 1.0, 1.0, 0.1828107237815857]","[0.9668891429901123, 0.40645718574523926, 0.40645718574523926, 0.9910213947296143]",[],[3]
1051d698-770e49ab,"[0, 2, 3]",[1],"[1.0, 0.711844265460968, 1.0, 1.0]","[0.7727890014648438, 0.9032086730003357, 0.7727890014648438, 0.7727890014648438]",[],[]
1132376c-225a7e0f,"[0, 2, 3]",[1],"[1.0, 0.5135700106620789, 1.0, 1.0]","[0.726180374622345, 0.9670777916908264, 0.726180374622345, 0.726180374622345]","[0, 3]",[1]
11577eed-53fb5e4d,"[1, 2]",[0],"[0.12313797324895859, 1.0, 1.0, 0.3593417704105377]","[0.9511733651161194, 0.3932953476905823, 0.3932953476905823, 0.752166748046875]",[1],"[0, 3]"
1210b74f-07f644b2,"[0, 2]",[1],"[1.0, 0.12216079980134964, 1.0, 0.5778906941413879]","[0.41583698987960815, 0.896664023399353, 0.41583698987960815, 0.5977343320846558]",[],[3]
1212a7d8-00c5d91e,"[0, 2, 3]",[],"[1.0, 0.05866624787449837, 1.0, 1.0]","[0.28591388463974, 0.6089861989021301, 0.28591388463974, 0.28591388463974]",[],[]
12b21211-b3f5a042,"[0, 3]",[2],"[1.0, 0.7370098829269409, 0.2568579912185669, 1.0]","[0.5787928104400635, 0.6954682469367981, 0.9960482716560364, 0.5787928104400635]",[],[]
12c1bdb3-7a2864b2,"[0, 2, 3]",[1],"[1.0, 0.33566799759864807, 1.0, 1.0]","[0.6513711810112, 0.999991238117218, 0.6513711810112, 0.6513711810112]",[],[]
12fa635f-81538467,"[0, 2, 3]",[1],"[1.0, 0.10892214626073837, 1.0, 1.0]","[0.4095217287540436, 0.8053413033485413, 0.4095217287540436, 0.4095217287540436]",[],[]
138bcb6c-90a3bc06,"[0, 2]","[1, 3]","[1.0, 0.28206464648246765, 1.0, 0.2569372057914734]","[0.4876165986061096, 0.9549248814582825, 0.4876165986061096, 0.9777470231056213]",[],[]
13ec83de-b12c9bee,"[0, 2, 3]",[],"[1.0, 0.09578772634267807, 1.0, 1.0]","[0.3821554481983185, 0.7660008668899536, 0.3821554481983185, 0.3821554481983185]",[],[]
14968e59-be7926f5,"[1, 3]","[0, 2]","[0.1248571127653122, 1.0, 0.13314680755138397, 1.0]","[0.9946961402893066, 0.31573769450187683, 0.9852774143218994, 0.31573769450187683]",[],[2]
149e074a-0161ed63,[1],"[0, 2]","[0.23343224823474884, 1.0, 0.11705099046230316, 0.273288369178772]","[0.8032335042953491, 0.3161778450012207, 0.9996230006217957, 0.7400604486465454]",[1],"[0, 3]"
1517f29b-82485d80,"[1, 2, 3]",[0],"[0.36604049801826477, 1.0, 1.0, 1.0]","[0.9984216690063477, 0.6678087711334229, 0.6678087711334229, 0.6678087711334229]",[1],[0]
1517f29b-bb9faef7,"[0, 1, 2]",[3],"[1.0, 1.0, 1.0, 0.5037287473678589]","[0.7231143712997437, 0.7231143712997437, 0.7231143712997437, 0.9698987007141113]",[1],[3]
15569b20-8d825141,"[1, 3]","[0, 2]","[0.23195227980613708, 1.0, 0.17994098365306854, 1.0]","[0.9453451633453369, 0.41700029373168945, 0.9970878958702087, 0.41700029373168945]",[],[2]
1557ee82-73dc670e,"[0, 3]",[1],"[1.0, 0.08930572867393494, 0.3792155086994171, 1.0]","[0.33983680605888367, 0.8723652362823486, 0.6497199535369873, 0.33983680605888367]",[],[2]
156c2189-192e8942,"[0, 3]",[1],"[1.0, 0.18873445689678192, 0.480031818151474, 1.0]","[0.4895473122596741, 0.987862229347229, 0.7638933062553406, 0.4895473122596741]",[3],[2]
157a9fc1-e5635233,"[0, 3]","[1, 2]","[1.0, 0.32147595286369324, 0.4490227997303009, 1.0]","[0.5744190216064453, 0.9832369089126587, 0.8855375051498413, 0.5744190216064453]",[],[2]
15a344e6-7252e9e8,"[0, 2, 3]",[1],"[1.0, 0.2066558599472046, 1.0, 1.0]","[0.5507302284240723, 0.9599292278289795, 0.5507302284240723, 0.5507302284240723]",[],[]
15e2ce54-6394affa,"[1, 2, 3]",[0],"[0.2543398141860962, 1.0, 1.0, 1.0]","[0.9869271516799927, 0.5952972173690796, 0.5952972173690796, 0.5952972173690796]",[1],[0]
162995f1-0e43ba5e,"[1, 2]","[0, 3]","[0.2481469064950943, 1.0, 1.0, 0.11110812425613403]","[0.8387537002563477, 0.3528505861759186, 0.3528505861759186, 0.9716401100158691]",[],[]
162d2a2a-5cc97bc3,"[1, 3]","[0, 2]","[0.5152050256729126, 1.0, 0.6196538209915161, 1.0]","[0.9335528612136841, 0.6801320910453796, 0.8693989515304565, 0.6801320910453796]",[],[2]
16b8b1ad-040b953a,"[0, 2, 3]",[1],"[1.0, 0.10813576728105545, 1.0, 1.0]","[0.40796104073524475, 0.8031678199768066, 0.40796104073524475, 0.40796104073524475]",[],[]
16d131ad-238fde29,"[0, 2, 3]",[1],"[1.0, 0.11211848258972168, 1.0, 1.0]","[0.41576969623565674, 0.8139553666114807, 0.41576969623565674, 0.41576969623565674]",[],[]
1738c701-e02d1082,"[1, 2, 3]",[0],"[0.2136378437280655, 1.0, 1.0, 1.0]","[0.9651750326156616, 0.5579712390899658, 0.5579712390899658, 0.5579712390899658]",[1],[0]
1771adeb-79687d22,[1],"[0, 3]","[0.12638787925243378, 1.0, 0.4874158501625061, 0.2408556193113327]","[0.9984139800071716, 0.3514142334461212, 0.572943925857544, 0.8480907678604126]",[],[]
17728848-17498c26,"[0, 3]","[1, 2]","[1.0, 0.09335055947303772, 0.2079489678144455, 1.0]","[0.3157176673412323, 0.9638954401016235, 0.8477926254272461, 0.3157176673412323]",[],[2]
17d2c5d1-ebda865d,"[0, 2, 3]",[],"[1.0, 0.05922228842973709, 1.0, 1.0]","[0.28761833906173706, 0.6119967699050903, 0.28761833906173706, 0.28761833906173706]",[],[]
1813e750-e22d1e0d,"[1, 3]","[0, 2]","[0.15089908242225647, 1.0, 0.21363714337348938, 1.0]","[0.9999881982803345, 0.38483327627182007, 0.9356094598770142, 0.38483327627182007]",[1],"[0, 2]"
1854cb9e-f78a94e5,"[0, 2, 3]",[1],"[1.0, 0.4418519139289856, 1.0, 1.0]","[0.7014681100845337, 0.9858169555664062, 0.7014681100845337, 0.7014681100845337]",[],[]
18f54e51-403eef35,"[0, 2, 3]",[],"[1.0, 0.06957422941923141, 1.0, 1.0]","[0.3176824152469635, 0.6637997627258301, 0.3176824152469635, 0.3176824152469635]",[],[]
1a02dda3-b57bdb04,"[1, 2, 3]",[0],"[0.23351679742336273, 1.0, 1.0, 1.0]","[0.9775156378746033, 0.5771725177764893, 0.5771725177764893, 0.5771725177764893]",[1],[0]
1a0fa68e-5ba887d4,"[0, 2, 3]",[1],"[1.0, 0.19474010169506073, 1.0, 1.0]","[0.5377103090286255, 0.9497265815734863, 0.5377103090286255, 0.5377103090286255]",[],[]
1a5dc090-ba1e6c6e,"[1, 3]","[0, 2]","[0.09305573999881744, 1.0, 0.1388031393289566, 1.0]","[0.9956876039505005, 0.2869216203689575, 0.9436029195785522, 0.2869216203689575]",[],[]
1aff9849-d7d66d54,[1],"[0, 3]","[0.18786337971687317, 1.0, 0.31065255403518677, 0.12962305545806885]","[0.8913883566856384, 0.3192465007305145, 0.694172203540802, 0.9918960928916931]",[1],"[0, 2]"
1b02f4f3-7dfe3de4,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]",[0],[]
1b20aafc-3757d847,"[0, 2, 3]",[1],"[1.0, 0.1962074488401413, 1.0, 1.0]","[0.5393608808517456, 0.951073408126831, 0.5393608808517456, 0.5393608808517456]",[0],[1]
1b633760-1228729b,"[1, 3]","[0, 2]","[0.1829710751771927, 1.0, 0.3118768632411957, 1.0]","[0.9995752573013306, 0.4487186074256897, 0.8818482756614685, 0.4487186074256897]","[1, 3]","[0, 2]"
1c1dce27-b464948b,"[0, 2]","[1, 3]","[1.0, 0.1398317664861679, 1.0, 0.2495907098054886]","[0.3879232406616211, 0.9945318698883057, 0.3879232406616211, 0.8867173194885254]",[0],"[1, 3]"
1c5a5eec-b5894678,"[1, 2, 3]",[0],"[0.17041626572608948, 1.0, 1.0, 1.0]","[0.9231783151626587, 0.5082006454467773, 0.5082006454467773, 0.5082006454467773]",[],[]
1c981ef2-08796d39,"[0, 3]","[1, 2]","[1.0, 0.43560275435447693, 0.3195376396179199, 1.0]","[0.5701258778572083, 0.892216682434082, 0.9821336269378662, 0.5701258778572083]",[],[2]
1caa09c1-5b66d003,"[1, 3]","[0, 2]","[0.4790451228618622, 1.0, 0.6289179921150208, 1.0]","[0.9488707780838013, 0.67154461145401, 0.8555293679237366, 0.67154461145401]",[1],"[0, 2]"
1cf9a90a-bf65c715,"[0, 2]","[1, 3]","[1.0, 0.13241149485111237, 1.0, 0.15795736014842987]","[0.3390856683254242, 0.9982658624649048, 0.3390856683254242, 0.9701199531555176]",[],[3]
1d23c2dd-969184f5,"[0, 3]",[2],"[1.0, 0.5362697243690491, 0.09087337553501129, 1.0]","[0.3555906414985657, 0.5447152853012085, 0.8266223669052124, 0.3555906414985657]",[],[2]
1d3a6f04-6dbb4da7,"[0, 2, 3]",[1],"[1.0, 0.3726041913032532, 1.0, 1.0]","[0.6711103320121765, 0.9977665543556213, 0.6711103320121765, 0.6711103320121765]",[],[]
